iter	Passed	Remaining
0	11	2287
1	27	2685
2	37	2442
3	55	2724
4	64	2522
5	140	4540
6	156	4314
7	171	4118
8	212	4508
9	227	4330
10	241	4149
11	259	4067
12	277	3989
13	289	3848
14	311	3845
15	326	3750
16	339	3649
17	353	3574
18	366	3495
19	403	3635
20	414	3533
21	424	3431
22	434	3347
23	443	3250
24	453	3175
25	461	3086
26	473	3032
27	484	2975
28	495	2920
29	505	2864
30	520	2837
31	533	2800
32	545	2762
33	554	2707
34	564	2659
35	571	2605
36	581	2559
37	588	2508
38	598	2469
39	605	2422
40	615	2387
41	624	2351
42	635	2318
43	644	2284
44	651	2245
45	661	2213
46	671	2187
47	681	2156
48	688	2121
49	697	2091
50	707	2066
51	715	2035
52	723	2007
53	733	1983
54	743	1960
55	750	1931
56	760	1908
57	768	1881
58	778	1860
59	786	1834
60	794	1811
61	804	1789
62	814	1772
63	824	1751
64	832	1728
65	842	1709
66	849	1686
67	859	1668
68	866	1645
69	876	1627
70	885	1607
71	892	1587
72	901	1569
73	909	1548
74	918	1530
75	926	1511
76	939	1500
77	950	1486
78	959	1469
79	970	1456
80	979	1439
81	991	1426
82	1001	1412
83	1011	1396
84	1022	1383
85	1033	1370
86	1043	1354
87	1054	1342
88	1065	1329
89	1074	1312
90	1086	1301
91	1097	1288
92	1106	1272
93	1115	1258
94	1123	1241
95	1132	1227
96	1141	1212
97	1151	1198
98	1158	1182
99	1168	1168
100	1175	1152
101	1185	1139
102	1196	1126
103	1204	1112
104	1213	1098
105	1222	1084
106	1233	1072
107	1241	1057
108	1250	1044
109	1258	1029
110	1266	1015
111	1278	1004
112	1287	991
113	1299	980
114	1307	966
115	1317	953
116	1332	945
117	1343	933
118	1354	921
119	1368	912
120	1383	903
121	1397	893
122	1414	885
123	1426	874
124	1435	861
125	1449	851
126	1462	840
127	1476	830
128	1486	818
129	1497	806
130	1506	793
131	1515	780
132	1524	767
133	1532	754
134	1545	743
135	1555	732
136	1563	718
137	1572	706
138	1581	693
139	1591	682
140	1599	669
141	1611	658
142	1621	646
143	1630	633
144	1641	622
145	1650	610
146	1660	598
147	1671	587
148	1679	574
149	1689	563
150	1697	550
151	1708	539
152	1720	528
153	1728	516
154	1738	504
155	1746	492
156	1756	480
157	1763	468
158	1772	457
159	1780	445
160	1790	433
161	1800	422
162	1809	410
163	1821	399
164	1830	388
165	1841	377
166	1853	366
167	1872	356
168	1886	346
169	1898	335
170	1913	324
171	1924	313
172	1936	302
173	1948	291
174	1959	279
175	1970	268
176	1985	258
177	1997	246
178	2004	235
179	2014	223
180	2021	212
181	2030	200
182	2041	189
183	2049	178
184	2060	167
185	2071	155
186	2084	144
187	2095	133
188	2106	122
189	2115	111
190	2125	100
191	2133	88
192	2144	77
193	2152	66
194	2161	55
195	2169	44
196	2180	33
197	2188	22
198	2196	11
199	2205	0
